"id";"name";"url";"typeid";"status"
"137";"baggasm.com";"baggasm.com";"1";"Enabled"
"138";"baikalglobal.com";"baikalglobal.com";"1";"Enabled"
"139";"baike.com";"baike.com";"1";"Enabled"
"140";"baixar-musicas-gratis.com";"baixar-musicas-gratis.com";"1";"Enabled"
"141";"baixar-musicas-gratis.comsavetubevideo.com";"baixar-musicas-gratis.comsavetubevideo.com";"1";"Enabled"
"142";"baladur.ru";"baladur.ru";"1";"Enabled"
"143";"balitouroffice.com";"balitouroffice.com";"1";"Enabled"
"144";"balvinderkumar.com";"balvinderkumar.com";"1";"Enabled"
"145";"bankrot-spb.ru";"bankrot-spb.ru";"1";"Enabled"
"146";"bard-real.com.ua";"bard-real.com.ua";"1";"Enabled"
"147";"bay176.mail.live.com";"bay176.mail.live.com";"1";"Enabled"
"148";"beabase.com";"beabase.com";"1";"Enabled"
"149";"beauby.ru";"beauby.ru";"1";"Enabled"
"150";"bedandbreakfastireland.net";"bedandbreakfastireland.net";"1";"Enabled"
"151";"belgorod.xrus.org";"belgorod.xrus.org";"1";"Enabled"
"152";"berlininsl.com";"berlininsl.com";"1";"Enabled"
"153";"best-funnycatsanddogs.com";"best-funnycatsanddogs.com";"1";"Enabled"
"154";"best-seo-offer.com";"best-seo-offer.com";"1";"Enabled"
"155";"best-seo-software.xyz";"best-seo-software.xyz";"1";"Enabled"
"156";"best-seo-solution.com";"best-seo-solution.com";"1";"Enabled"
"157";"bestempresas.es";"bestempresas.es";"1";"Enabled"
"158";"bestmobilityscooterstoday.com";"bestmobilityscooterstoday.com";"1";"Enabled"
"159";"bestseo-solution.com";"bestseo-solution.com";"1";"Enabled"
"160";"bestwebsiteawards.com";"bestwebsiteawards.com";"1";"Enabled"
"161";"bestwebsitesawards.com";"bestwebsitesawards.com";"1";"Enabled"
"162";"betonka.pro";"betonka.pro";"1";"Enabled"
"163";"bif-ru.info";"bif-ru.info";"1";"Enabled"
"164";"bigcities.org";"bigcities.org";"1";"Enabled"
"165";"biglistofwebsites.com";"biglistofwebsites.com";"1";"Enabled"
"166";"billiard-classic.com.ua";"billiard-classic.com.ua";"1";"Enabled"
"167";"bimatoprost-careprost.com";"bimatoprost-careprost.com";"1";"Enabled"
"168";"binomo.kz";"binomo.kz";"1";"Enabled"
"169";"bio-japan.net";"bio-japan.net";"1";"Enabled"
"170";"bio.trade-jp.net";"bio.trade-jp.net";"1";"Enabled"
"171";"bizdirlib.com";"bizdirlib.com";"1";"Enabled"
"172";"biznesluxe.ru";"biznesluxe.ru";"1";"Enabled"
"173";"bizru.info";"bizru.info";"1";"Enabled"
"174";"black-friday.ga";"black-friday.ga";"1";"Enabled"
"175";"blackhatworth.com";"blackhatworth.com";"1";"Enabled"
"176";"blacklesbians.xblog.in";"blacklesbians.xblog.in";"1";"Enabled"
"177";"blockworld.ru";"blockworld.ru";"1";"Enabled"
"178";"blogtotal.de";"blogtotal.de";"1";"Enabled"
"179";"blue-square.biz";"blue-square.biz";"1";"Enabled"
"180";"bluecoat.com";"bluecoat.com";"1";"Enabled"
"181";"bluerobot.info";"bluerobot.info";"1";"Enabled"
"182";"bmhnetwork.com";"bmhnetwork.com";"1";"Enabled"
"183";"bmw.afora.ru";"bmw.afora.ru";"1";"Enabled"
"184";"bodybuilding-shop.biz";"bodybuilding-shop.biz";"1";"Enabled"
"185";"boioiong.com";"boioiong.com";"1";"Enabled"
"186";"boleznikogi.com";"boleznikogi.com";"1";"Enabled"
"187";"bonuspayeer.ru";"bonuspayeer.ru";"1";"Enabled"
"188";"boost-my-site.com";"boost-my-site.com";"1";"Enabled"
"189";"bouwmaas.jouwpagina.nl";"bouwmaas.jouwpagina.nl";"1";"Enabled"
"190";"brakehawk.com";"brakehawk.com";"1";"Enabled"
"191";"brazil.porndairy.in";"brazil.porndairy.in";"1";"Enabled"
"192";"break-the-chains.com";"break-the-chains.com";"1";"Enabled"
"193";"brendbutik.ru";"brendbutik.ru";"1";"Enabled"
"194";"british1.co.uk";"british1.co.uk";"1";"Enabled"
"195";"brk-rti.ru";"brk-rti.ru";"1";"Enabled"
"196";"brothers-smaller.ru";"brothers-smaller.ru";"1";"Enabled"
"197";"budmavtomatika.com.ua";"budmavtomatika.com.ua";"1";"Enabled"
"198";"budpost.com.ua";"budpost.com.ua";"1";"Enabled"
"199";"build-a-better-business.2your.site";"build-a-better-business.2your.site";"1";"Enabled"
"200";"build-audience.for-your.website";"build-audience.for-your.website";"1";"Enabled"
"201";"burger-imperia.com";"burger-imperia.com";"1";"Enabled"
"202";"burn-fat.ga";"burn-fat.ga";"1";"Enabled"
"203";"business-finder.info";"business-finder.info";"1";"Enabled"
"204";"business-portal.co.uk";"business-portal.co.uk";"1";"Enabled"
"205";"buttons-for-website.com";"buttons-for-website.com";"1";"Enabled"
"206";"buttons-for-your-website.com";"buttons-for-your-website.com";"1";"Enabled"
"207";"buttonspace.com";"buttonspace.com";"1";"Enabled"
"208";"buy-cheap-online.info";"buy-cheap-online.info";"1";"Enabled"
"209";"buy-cheap-pills-order-online.com";"buy-cheap-pills-order-online.com";"1";"Enabled"
"210";"buy-forum.ru";"buy-forum.ru";"1";"Enabled"
"211";"buyessaynow.biz";"buyessaynow.biz";"1";"Enabled"
"212";"call-of-duty.info";"call-of-duty.info";"1";"Enabled"
"213";"callupcontact.com";"callupcontact.com";"1";"Enabled"
"214";"camgirls.adultnet.in";"camgirls.adultnet.in";"1";"Enabled"
"215";"cardiosport.com.ua";"cardiosport.com.ua";"1";"Enabled"
"216";"cardul.ru";"cardul.ru";"1";"Enabled"
"217";"carfax.com.ua";"carfax.com.ua";"1";"Enabled"
"218";"carsnumber.com";"carsnumber.com";"1";"Enabled"
"219";"cartechnic.ru";"cartechnic.ru";"1";"Enabled"
"220";"cash4traffic.xyz";"cash4traffic.xyz";"1";"Enabled"
"221";"castingbank.ru";"castingbank.ru";"1";"Enabled"
"222";"catalogs-parts.com";"catalogs-parts.com";"1";"Enabled"
"223";"ccpfy.net";"ccpfy.net";"1";"Enabled"
"224";"cenokos.ru";"cenokos.ru";"1";"Enabled"
"225";"cenoval.ru";"cenoval.ru";"1";"Enabled"
"226";"cezartabac.ro";"cezartabac.ro";"1";"Enabled"
"227";"cfsrating.sonicwall.com";"cfsrating.sonicwall.com";"1";"Enabled"
"228";"ch.wow.com";"ch.wow.com";"1";"Enabled"
"229";"chameleon-shop.ru";"chameleon-shop.ru";"1";"Enabled"
"230";"cheese-for-you.ucoz.ua";"cheese-for-you.ucoz.ua";"1";"Enabled"
"231";"chelyabinsk.xrus.org";"chelyabinsk.xrus.org";"1";"Enabled"
"232";"chinese-amezon.com";"chinese-amezon.com";"1";"Enabled"
"233";"choosecuisine.com";"choosecuisine.com";"1";"Enabled"
"234";"ci.ua";"ci.ua";"1";"Enabled"
"235";"cityadspix.com";"cityadspix.com";"1";"Enabled"
"236";"civilwartheater.com";"civilwartheater.com";"1";"Enabled"
"237";"claim22346981.copyrightclaims.org";"claim22346981.copyrightclaims.org";"1";"Enabled"
"238";"claim26287680.copyrightclaims.org";"claim26287680.copyrightclaims.org";"1";"Enabled"
"239";"claim381811.copyrightclaims.org";"claim381811.copyrightclaims.org";"1";"Enabled"
"240";"claim41419611.copyrightclaims.org";"claim41419611.copyrightclaims.org";"1";"Enabled"
"241";"claim43313961.copyrightclaims.org";"claim43313961.copyrightclaims.org";"1";"Enabled"
"242";"claim48468546.copyrightclaims.org";"claim48468546.copyrightclaims.org";"1";"Enabled"
"243";"claim65919258.copyrightclaims.org";"claim65919258.copyrightclaims.org";"1";"Enabled"
"244";"claim66669103.copyrightclaims.org";"claim66669103.copyrightclaims.org";"1";"Enabled"
"245";"claim67259183.copyrightclaims.org";"claim67259183.copyrightclaims.org";"1";"Enabled"
"246";"claim68419526.copyrightclaims.org";"claim68419526.copyrightclaims.org";"1";"Enabled"
"247";"claim69545136.copyrightclaims.org";"claim69545136.copyrightclaims.org";"1";"Enabled"
"248";"claim69854706.copyrightclaims.org";"claim69854706.copyrightclaims.org";"1";"Enabled"
"249";"claim71210023.copyrightclaims.org";"claim71210023.copyrightclaims.org";"1";"Enabled"
"250";"claim71636923.copyrightclaims.org";"claim71636923.copyrightclaims.org";"1";"Enabled"
"251";"clicksor.com";"clicksor.com";"1";"Enabled"
"252";"clk.golinks.org";"clk.golinks.org";"1";"Enabled"
"253";"clubaccent.net";"clubaccent.net";"1";"Enabled"
"254";"cmd.kz";"cmd.kz";"1";"Enabled"
"255";"coderstate.com";"coderstate.com";"1";"Enabled"
"256";"codysbbq.com";"codysbbq.com";"1";"Enabled"
"257";"coinsruss.com";"coinsruss.com";"1";"Enabled"
"258";"companycheck.co.uk";"companycheck.co.uk";"1";"Enabled"
"259";"conceptfeedback.com";"conceptfeedback.com";"1";"Enabled"
"260";"conciergegroup.org";"conciergegroup.org";"1";"Enabled"
"261";"confib.ifmo.ru";"confib.ifmo.ru";"1";"Enabled"
"262";"connectikastudio.com";"connectikastudio.com";"1";"Enabled"
"263";"cookie-law-enforcement-bb.xyz";"cookie-law-enforcement-bb.xyz";"1";"Enabled"
"264";"cookie-law-enforcement-cc.xyz";"cookie-law-enforcement-cc.xyz";"1";"Enabled"
"265";"cookie-law-enforcement-dd.xyz";"cookie-law-enforcement-dd.xyz";"1";"Enabled"
"266";"cookie-law-enforcement-ee.xyz";"cookie-law-enforcement-ee.xyz";"1";"Enabled"
"267";"cookie-law-enforcement-ff.xyz";"cookie-law-enforcement-ff.xyz";"1";"Enabled"
"268";"cookie-law-enforcement-ii.xyz";"cookie-law-enforcement-ii.xyz";"1";"Enabled"
"269";"cookingmeat.ru";"cookingmeat.ru";"1";"Enabled"
"270";"cool-wedding.net";"cool-wedding.net";"1";"Enabled"
"271";"coop-gamers.ru";"coop-gamers.ru";"1";"Enabled"
"272";"copyrightclaims.org";"copyrightclaims.org";"1";"Enabled"
"273";"covadhosting.biz";"covadhosting.biz";"1";"Enabled"
"274";"creditgate.com";"creditgate.com";"1";"Enabled"
"275";"crgfa.org";"crgfa.org";"1";"Enabled"
"276";"crm.muchosol.com";"crm.muchosol.com";"1";"Enabled"
"277";"cs-data.ru";"cs-data.ru";"1";"Enabled"
"278";"cubook.supernew.org";"cubook.supernew.org";"1";"Enabled"
"279";"customsua.com.ua";"customsua.com.ua";"1";"Enabled"
"280";"cutalltheshit.com";"cutalltheshit.com";"1";"Enabled"
"281";"cxpromote.com";"cxpromote.com";"1";"Enabled"
"282";"cyber-monday.ga";"cyber-monday.ga";"1";"Enabled"
"283";"dailyrank.net";"dailyrank.net";"1";"Enabled"
"284";"darkbyte.ru";"darkbyte.ru";"1";"Enabled"
"285";"darodar.com";"darodar.com";"1";"Enabled"
"286";"dbutton.net";"dbutton.net";"1";"Enabled"
"287";"dear-diary.ru";"dear-diary.ru";"1";"Enabled"
"288";"dekorkeramik.ru";"dekorkeramik.ru";"1";"Enabled"
"289";"delfin-aqua.com.ua";"delfin-aqua.com.ua";"1";"Enabled"
"290";"demenageur.com";"demenageur.com";"1";"Enabled"
"291";"demo-babes.blogspot.com";"demo-babes.blogspot.com";"1";"Enabled"
"292";"den-noch24.ru";"den-noch24.ru";"1";"Enabled"
"293";"dentuled.net";"dentuled.net";"1";"Enabled"
"294";"depositfiles-porn.ga";"depositfiles-porn.ga";"1";"Enabled"
"295";"descargar-musica-gratis.net";"descargar-musica-gratis.net";"1";"Enabled"
"296";"descargar-musicas-gratis.com";"descargar-musicas-gratis.com";"1";"Enabled"
"297";"designdevise.com";"designdevise.com";"1";"Enabled"
"298";"desktopnexus.com";"desktopnexus.com";"1";"Enabled"
"299";"detskie-konstruktory.ru";"detskie-konstruktory.ru";"1";"Enabled"
"300";"detskie-zabavi.ru";"detskie-zabavi.ru";"1";"Enabled"
"301";"digitalfaq.com";"digitalfaq.com";"1";"Enabled"
"302";"dimkino.ru";"dimkino.ru";"1";"Enabled"
"303";"dipstar.org";"dipstar.org";"1";"Enabled"
"304";"diradvantage.com";"diradvantage.com";"1";"Enabled"
"305";"directory-free.com";"directory-free.com";"1";"Enabled"
"306";"directoryaddurlsstore,com";"directoryaddurlsstore,com";"1";"Enabled"
"307";"directorycapital.com";"directorycapital.com";"1";"Enabled"
"308";"directorywebuk.co.uk";"directorywebuk.co.uk";"1";"Enabled"
"309";"dirfusion.co.uk";"dirfusion.co.uk";"1";"Enabled"
"310";"dirhub.net";"dirhub.net";"1";"Enabled"
"311";"diy-handmade-ideas.com";"diy-handmade-ideas.com";"1";"Enabled"
"312";"djekxa.ru";"djekxa.ru";"1";"Enabled"
"313";"djonwatch.ru";"djonwatch.ru";"1";"Enabled"
"314";"dktr.ru";"dktr.ru";"1";"Enabled"
"315";"dnepr-avtospar.com.ua";"dnepr-avtospar.com.ua";"1";"Enabled"
"316";"dneprsvet.com.ua";"dneprsvet.com.ua";"1";"Enabled"
"317";"dnph.com";"dnph.com";"1";"Enabled"
"318";"dobbersports.com";"dobbersports.com";"1";"Enabled"
"319";"dojki-hd.com";"dojki-hd.com";"1";"Enabled"
"320";"dokumentalkino.net";"dokumentalkino.net";"1";"Enabled"
"321";"domain-tracker.com";"domain-tracker.com";"1";"Enabled"
"322";"domaintools.com";"domaintools.com";"1";"Enabled"
"323";"domdeco.net";"domdeco.net";"1";"Enabled"
"324";"domik-derevne.ru";"domik-derevne.ru";"1";"Enabled"
"325";"dominateforex.ml";"dominateforex.ml";"1";"Enabled"
"326";"domination.ml";"domination.ml";"1";"Enabled"
"327";"dominterior.org";"dominterior.org";"1";"Enabled"
"328";"donnybrook.osits.com";"donnybrook.osits.com";"1";"Enabled"
"329";"doska-vsem.ru";"doska-vsem.ru";"1";"Enabled"
"330";"dostavka-alcogolya.com";"dostavka-alcogolya.com";"1";"Enabled"
"331";"dostavka-v-krym.com";"dostavka-v-krym.com";"1";"Enabled"
"332";"douillet.info";"douillet.info";"1";"Enabled"
"333";"downloadmusicmp3.top";"downloadmusicmp3.top";"1";"Enabled"
"334";"dp.g.doubleclick.net";"dp.g.doubleclick.net";"1";"Enabled"
"335";"drugstoreforyou.com";"drugstoreforyou.com";"1";"Enabled"
"336";"drupa.com";"drupa.com";"1";"Enabled"
"337";"dubreuil.agat.net";"dubreuil.agat.net";"1";"Enabled"
"338";"duckduckgo.com";"duckduckgo.com";"1";"Enabled"
"339";"dvr.biz.ua";"dvr.biz.ua";"1";"Enabled"
"340";"e-buyeasy.com";"e-buyeasy.com";"1";"Enabled"
"341";"e-kwiaciarz.pl";"e-kwiaciarz.pl";"1";"Enabled"
"342";"easycommerce.cf";"easycommerce.cf";"1";"Enabled"
"343";"ebin.cc";"ebin.cc";"1";"Enabled"
"344";"ebony.porndairy.in";"ebony.porndairy.in";"1";"Enabled"
"345";"ecomp3.ru";"ecomp3.ru";"1";"Enabled"
"346";"econom.co";"econom.co";"1";"Enabled"
"347";"edakgfvwql.ru";"edakgfvwql.ru";"1";"Enabled"
"348";"egovaleo.it";"egovaleo.it";"1";"Enabled"
"349";"ekaterinburg.xrus.org";"ekaterinburg.xrus.org";"1";"Enabled"
"350";"ekspertmed.com";"ekspertmed.com";"1";"Enabled"
"351";"ekto.ee";"ekto.ee";"1";"Enabled"
"352";"el-nation.com";"el-nation.com";"1";"Enabled"
"353";"electricwheelchairsfind.com";"electricwheelchairsfind.com";"1";"Enabled"
"354";"electronicsarena.co.uk";"electronicsarena.co.uk";"1";"Enabled"
"355";"ellysmarket.com";"ellysmarket.com";"1";"Enabled"
"356";"elmifarhangi.com";"elmifarhangi.com";"1";"Enabled"
"357";"eluscvs91.over-blog.com";"eluscvs91.over-blog.com";"1";"Enabled"
"358";"elvel.com.ua";"elvel.com.ua";"1";"Enabled"
"359";"elz.by";"elz.by";"1";"Enabled"
"360";"embedle.com";"embedle.com";"1";"Enabled"
"361";"energy-ua.com";"energy-ua.com";"1";"Enabled"
"362";"ereko.ru";"ereko.ru";"1";"Enabled"
"363";"erot.co";"erot.co";"1";"Enabled"
"364";"ertelecom.ru";"ertelecom.ru";"1";"Enabled"
"365";"escort-russian.com";"escort-russian.com";"1";"Enabled"
"366";"este-line.com.ua";"este-line.com.ua";"1";"Enabled"
"367";"etahotspot.lainit.it";"etahotspot.lainit.it";"1";"Enabled"
"368";"eu cookie law eu-cookie-law.info";"eu cookie law eu-cookie-law.info";"1";"Enabled"
"369";"eu-cookie-law-enforcement-#.xyz";"eu-cookie-law-enforcement-#.xyz";"1";"Enabled"
"370";"eu-cookie-law-enforcement-6.xyz";"eu-cookie-law-enforcement-6.xyz";"1";"Enabled"
"371";"eu-cookie-law-enforcement-7.xyz";"eu-cookie-law-enforcement-7.xyz";"1";"Enabled"
"372";"eu-cookie-law-enforcement2.xyz";"eu-cookie-law-enforcement2.xyz";"1";"Enabled"
"373";"eu-cookie-law.blogspot.com";"eu-cookie-law.blogspot.com";"1";"Enabled"
"374";"eu-cookie-law.info";"eu-cookie-law.info";"1";"Enabled"
"375";"euromasterclass.ru";"euromasterclass.ru";"1";"Enabled"
"376";"euronis-free.com";"euronis-free.com";"1";"Enabled"
"377";"europages.com.ru";"europages.com.ru";"1";"Enabled"
"378";"eurosamodelki.ru";"eurosamodelki.ru";"1";"Enabled"
"379";"event-tracking.com";"event-tracking.com";"1";"Enabled"
"380";"extener.com";"extener.com";"1";"Enabled"
"381";"extener.org";"extener.org";"1";"Enabled"
"382";"ezvcfucp.fr";"ezvcfucp.fr";"1";"Enabled"
"383";"facebook-mobile.xyz";"facebook-mobile.xyz";"1";"Enabled"
"384";"fanoboi.com";"fanoboi.com";"1";"Enabled"
"385";"fast-wordpress-start.com";"fast-wordpress-start.com";"1";"Enabled"
"386";"fbdownloader.com";"fbdownloader.com";"1";"Enabled"
"387";"fbfreegifts.com";"fbfreegifts.com";"1";"Enabled"
"388";"fealq.com";"fealq.com";"1";"Enabled"
"389";"feargames.ru";"feargames.ru";"1";"Enabled"
"390";"feedback.sharemyfile.ru";"feedback.sharemyfile.ru";"1";"Enabled"
"391";"feedouble.com";"feedouble.com";"1";"Enabled"
"392";"feedouble.net";"feedouble.net";"1";"Enabled"
"393";"femmesdenudees.com";"femmesdenudees.com";"1";"Enabled"
"394";"fermersovet.ru";"fermersovet.ru";"1";"Enabled"
"395";"fetti.ru";"fetti.ru";"1";"Enabled"
"396";"filmidivx.com";"filmidivx.com";"1";"Enabled"
"397";"find.rockettab.com";"find.rockettab.com";"1";"Enabled"
"398";"findeen.de";"findeen.de";"1";"Enabled"
"399";"finteks.ru";"finteks.ru";"1";"Enabled"
"400";"fix-website-errors.com";"fix-website-errors.com";"1";"Enabled"
"401";"fleetpijrat.us11.list-manage.com";"fleetpijrat.us11.list-manage.com";"1";"Enabled"
"402";"fleetpijrat.us11.list-manage1.com";"fleetpijrat.us11.list-manage1.com";"1";"Enabled"
